Element Name,Windows NT,Win95,Win32s,Subsystem,Import Library,Header File,Platform Notes,History,Unicode,ElementType
RasAdminAcceptNewConnection,Yes,No,No,RAS Admin,user-defined,rassapi.h,,New for Windows NT 4.0,WinNT,3rd party DLL entrypoint
RasAdminConnectionHangupNotification,Yes,No,No,RAS Admin,user-defined,rassapi.h,,New for Windows NT 4.0,WinNT,3rd party DLL entrypoint
RasAdminGetIpAddressForUser,Yes,No,No,RAS Admin,user-defined,rassapi.h,,New for Windows NT 4.0,WinNT,3rd party DLL entrypoint
RasAdminReleaseIpAddress,Yes,No,No,RAS Admin,user-defined,rassapi.h,,New for Windows NT 4.0,WinNT,3rd party DLL entrypoint
AbortProc,Yes,Yes,Yes,callback/GDI,user-defined,wingdi.h,ABORTPROC,,No,callback function
acmDriverEnumCallback,Yes,Yes,No,callback/mm/Audio Compression,user-defined,msacm.h,ACMDRIVERENUMCB,,No,callback function
acmDriverProc,Yes,Yes,No,callback/mm/Audio Compression,user-defined,msacm.h,ACMDRIVERPROC,,No,callback function
acmFilterChooseHookProc,Yes,Yes,No,callback/mm/Audio Compression,user-defined,msacm.h,ACMFILTERCHOOSEHOOKPROC,,WinNT,callback function
acmFilterEnumCallback,Yes,Yes,No,callback/mm/Audio Compression,user-defined,msacm.h,ACMFILTERENUMCB,,WinNT,callback function
acmFilterTagEnumCallback,Yes,Yes,No,callback/mm/Audio Compression,user-defined,msacm.h,ACMFILTERTAGENUMCB,,WinNT,callback function
acmFormatChooseHookProc,Yes,Yes,No,callback/mm/Audio Compression,user-defined,msacm.h,ACMFORMATCHOOSEHOOKPROC,,WinNT,callback function
acmFormatEnumCallback,Yes,Yes,No,callback/mm/Audio Compression,user-defined,msacm.h,ACMFORMATENUMCB,,WinNT,callback function
acmFormatTagEnumCallback,Yes,Yes,No,callback/mm/Audio Compression,user-defined,msacm.h,ACMFORMATTAGENUMCB,,WinNT,callback function
acmStreamConvertCallback,Yes,Yes,No,callback/mm/Audio Compression,user-defined, -,,,No,callback function
AddPropSheetPageProc,Yes,Yes,Yes,callback/property sheets,user-defined,prsht.h,LPFNADDPROPSHEETPAGEPROC,,No,callback function
BrowseCallbackProc,Yes,Yes,No,callback/user/new shell,user-defined,shlobj.h,BFFCALLBACK,New for Windows 95; added to Windows NT 4.0,No,callback function
CallWndProc,Yes,Yes,Yes,callback/user,user-defined,winuser.h,HOOKPROC,,No,callback function
CallWndRetProc,Yes,Yes,No,callback/user,user-defined,winuser.h,HOOKPROC,New for Windows 95; added to Windows NT 4.0,No,callback function
capControllCallback,Yes,Yes,No,callback/mm,user-defined, -,,,No,callback function
capErrorCallback,Yes,Yes,No,callback/mm,user-defined, -,,,No,callback function
capStatusCallback,Yes,Yes,No,callback/mm,user-defined, -,,,No,callback function
capVideoStreamCallback,Yes,Yes,No,callback/mm,user-defined, -,,,No,callback function
capWaveStreamCallback,Yes,Yes,No,callback/mm,user-defined, -,,,No,callback function
capYieldCallback,Yes,Yes,No,callback/mm,user-defined, -,,,No,callback function
CBTProc,Yes,Yes,Yes,callback/user,user-defined,winuser.h,HOOKPROC,,No,callback function
CCHookProc,Yes,Yes,Yes,callback/shell/commdlg,user-defined,commdlg.h,LPCCHOOKPROC,,No,callback function
CFHookProc,Yes,Yes,Yes,callback/shell/commdlg,user-defined,commdlg.h,LPCFHOOKPROC,,No,callback function
CopyProgressRoutine,Yes,No,No,callback/kernel,user-defined, -,,New for Windows NT 4.0,No,callback function
CplApplet,Yes,Yes,Yes,callback/cpanel,user-defined,cpl.h,APPLET_PROC,,No,callback function
DdeCallback,Yes,Yes,Yes,callback/dde,user-defined,ddeml.h,PFNCALLBACK,,No,callback function
DebugProc,Yes,No,No,callback/debugging,user-defined,winuser.h,HOOKPROC,,No,callback function
DialogProc,Yes,Yes,Yes,callback/dialog,user-defined,winuser.h,DLGPROC,,No,callback function
DrawStateProc,Yes,Yes,No,callback/user,user-defined,winuser.h,DRAWSTATEPROC,New for Windows 95; added to Windows NT 4.0,No,callback function
DriverProc,Yes,Yes,No,callback/mm,user-defined,mmsystem.h,DRIVERPROC,,No,callback function
EditWordBreakProc,Yes,Yes,No,callback/user,user-defined,winuser.h,EDITWORDBREAKPROC,,WinNT,callback function
EditWordBreakProcEx,Yes,Yes,No,callback/user,user-defined, -,,New for Windows 95; added to Windows NT 4.0,No,callback function
EnhMetaFileProc,Yes,Yes,No,callback/metafile,user-defined,wingdi.h,ENHMFENUMPROC,,No,callback function
EnumCalendarInfoProc,Yes,No,Yes,callback/Kernel/NLS,user-defined,winnls.h,CALINFO_ENUMPROC,,WinNT,callback function
EnumChildProc,Yes,Yes,Yes,callback/user,user-defined,winuser.h,WNDENUMPROC,,No,callback function
EnumCodePagesProc,Yes,No,Yes,callback/Kernel/NLS,user-defined,winnls.h,CODEPAGE_ENUMPROC,,WinNT,callback function
EnumDateFormatsProc,Yes,No,Yes,callback/Kernel/NLS,user-defined,winnls.h,DATEFMT_ENUMPROC,,WinNT,callback function
EnumDesktopProc,Yes,No,No,callback/user,user-defined,winuser.h,DESKTOPENUMPROC,,WinNT,callback function
EnumFontFamExProc,Yes,Yes,No,callback/GDI/Text,user-defined,wingdi.h,FONTENUMPROC,New for Windows 95; added to Windows NT 4.0,No,callback function
EnumFontFamProc,Yes,Yes,Yes,callback/GDI/Text,user-defined,wingdi.h,FONTENUMPROC,,No,callback function
EnumFontsProc,Yes,Yes,Yes,callback/GDI/Text,user-defined,wingdi.h,FONTENUMPROC,,No,callback function
EnumICMProfilesProc,No,Yes,No,callback/ICM,user-defined,wingdi.h,ICMENUMPROC,New for Windows 95,No,callback function
EnumLocalesProc,Yes,No,Yes,callback/Kernel/NLS,user-defined,winnls.h,LOCALE_ENUMPROC,,WinNT,callback function
EnumMetaFileProc,Yes,Yes,Yes,callback/metafile,user-defined,wingdi.h,MFENUMPROC,,No,callback function
EnumObjectsProc,Yes,Yes,Yes,callback/kernel,user-defined,wingdi.h,GOBJENUMPROC,,No,callback function
EnumRegisterWordProc,Yes,Yes,No,callback/IMM,user-defined,imm.h,REGISTERWORDENUMPROC,,WinNT,callback function
EnumResLangProc,Yes,Yes,Yes,callback/Kernel/Resources,user-defined,winbase.h,ENUMRESLANGPROC,,No,callback function
EnumResNameProc,Yes,Yes,Yes,callback/Kernel/Resources,user-defined,winbase.h,ENUMRESNAMEPROC,,No,callback function
